# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05233e-05 to 105.341 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_tot                  8:phi                    9:psi                
       7.982592386583e-02       3.710384127524e-02      -1.015342308440e+04      -1.019238315675e+04      -1.018637053103e+04       3.785513284568e-02      -1.018339106777e+04       8.470814085329e-02       8.470814085329e-02 
       8.295330495577e-02       3.535744386486e-02      -1.044408011047e+04      -1.048826912749e+04      -1.048144952921e+04       3.607330955175e-02      -1.047838375769e+04       8.071375414565e-02       8.071375414565e-02 
       8.611664426660e-02       3.363520312242e-02      -1.070414478393e+04      -1.075452736705e+04      -1.074675192812e+04       3.431624423316e-02      -1.074360855777e+04       7.678857609499e-02       7.678857609499e-02 
       8.932721911681e-02       3.196730033316e-02      -1.094169670700e+04      -1.099882453919e+04      -1.099000811944e+04       3.261458496356e-02      -1.098679359864e+04       7.298337989377e-02       7.298337989377e-02 
       9.259484646335e-02       3.037759871033e-02      -1.116776779365e+04      -1.123167072116e+04      -1.122180871444e+04       3.099270393700e-02      -1.121852639390e+04       6.935580486540e-02       6.935580486540e-02 
       9.592829999661e-02       2.888941357740e-02      -1.139603493486e+04      -1.146615356190e+04      -1.145533229859e+04       2.947442932536e-02      -1.145198167438e+04       6.596412129644e-02       6.596412129644e-02 
       9.933559909729e-02       2.752769864529e-02      -1.164099958460e+04      -1.171617391283e+04      -1.170457241309e+04       2.808513746656e-02      -1.170114888826e+04       6.285492434094e-02       6.285492434094e-02 
       1.028242137833e-01       2.630628068277e-02      -1.191765878273e+04      -1.199619818364e+04      -1.198407735872e+04       2.683896138982e-02      -1.198057208106e+04       6.006305174263e-02       6.006305174263e-02 
       1.064012128639e-01       2.522619341225e-02      -1.223777269355e+04      -1.231760991977e+04      -1.230528880378e+04       2.573699658989e-02      -1.230168957444e+04       5.759598891922e-02       5.759598891922e-02 
       1.100733726481e-01       2.428195260964e-02      -1.260917376346e+04      -1.268810672072e+04      -1.267592515842e+04       2.477362299398e-02      -1.267221752096e+04       5.543814687432e-02       5.543814687432e-02 
       1.138472575981e-01       2.345163569275e-02      -1.303309372948e+04      -1.310909623227e+04      -1.309736692082e+04       2.392653112798e-02      -1.309353601499e+04       5.354666562674e-02       5.354666562674e-02 
       1.177292806122e-01       2.271280304039e-02      -1.350249254671e+04      -1.357406596096e+04      -1.356302018157e+04       2.317269476213e-02      -1.355905307577e+04       5.185385064513e-02       5.185385064513e-02 
       1.217257482704e-01       2.202358958563e-02      -1.400205633010e+04      -1.406855863245e+04      -1.405829546734e+04       2.246949600582e-02      -1.405418349728e+04       5.027607272714e-02       5.027607272714e-02 
       1.258428948431e-01       2.134343636445e-02      -1.450914008388e+04      -1.457103106889e+04      -1.456147955893e+04       2.177557900101e-02      -1.455722041128e+04       4.872386031495e-02       4.872386031495e-02 
       1.300869078613e-01       2.063916313848e-02      -1.499639224933e+04      -1.505531676952e+04      -1.504622306797e+04       2.105703492583e-02      -1.504182213641e+04       4.711442544572e-02       4.711442544572e-02 
       1.344639473758e-01       1.988137694075e-02      -1.543730890418e+04      -1.549595180642e+04      -1.548690156628e+04       2.028393854496e-02      -1.548237173946e+04       4.538856053724e-02       4.538856053724e-02 
       1.389801605906e-01       1.906231204305e-02      -1.581177766485e+04      -1.587346557725e+04      -1.586394540670e+04       1.944830693710e-02      -1.585930529728e+04       4.352103075634e-02       4.352103075634e-02 
       1.436416932587e-01       1.818611987445e-02      -1.611265621370e+04      -1.618072680297e+04      -1.617022160660e+04       1.855443514397e-02      -1.616549191361e+04       4.152871795671e-02       4.152871795671e-02 
       1.484546990338e-01       1.728786147679e-02      -1.634927904398e+04      -1.642631716813e+04      -1.641442802997e+04       1.763789563496e-02      -1.640962690838e+04       3.946675689527e-02       3.946675689527e-02 
       1.534253478460e-01       1.639099869804e-02      -1.655038934554e+04      -1.663749840777e+04      -1.662405504178e+04       1.672289860968e-02      -1.661919260587e+04       3.742280348790e-02       3.742280348790e-02 
